# Sample model initialization file. Each line has the form:
#
# project | model_id | URL | description
#
# To configure the publisher database with this information:
#
# - In esg.ini, in the [initialize] section, uncomment the line:
#     initial_models_table = %(home)s/.esgcet/esgcet_models_table.txt
#
# - Run:
#     % esginitialize -c -i /esg/config/esgcet/esg.ini

ipcc4 |  ukmo_hadgem1 | http://www.metoffice.gov.uk/research/hadleycentre/pubs/HCTN/HCTN_54.pdf| Hadley Centre for Climate Prediction, Met Office, UK, HadGEM1 Model
lucid | IPSL-CM5A-LR | | IPSL-CM5A-LR, Institut Pierre-Simon Laplace
pmip3 | bcc-csm1-1 | | BCC, Beijing Climate Center, China Meteorological Administration
pmip3 | CCSM4 | | NCAR, National Center for Atmospheric Research, USA
pmip3 | CNRM-CM5 | | CNRM-CERFACS, Centre National de Recherches Meteorologiques / Centre Europeen de Recherche et Formation Avancees en Calcul Scientifique, France
pmip3 | COSMOS-ASO | | FUB, Freie Universitaet Berlin, Institute for Meteorology, Germany
pmip3 | CSIRO-Mk3-6-0 | | CSIRO-QCCCE, Commonwealth Scientific and Industrial Research Organization/Queensland Climate Change Centre of Excellence, Australia
pmip3 | CSIRO-Mk3L-1-2 | | UNSW, University of New South Wales, Australia
pmip3 | EC-EARTH-2-2 | | KNMI, Royal Netherlands Meteorological Institute, Netherlands
pmip3 | FGOALS-g2 | | LASG-CESS, Institute of Atmospheric Physics, Chinese Academy of Sciences
pmip3 | FGOALS-gl | | LASG, Institute of Atmospheric Physics, Chinese Academy of Sciences
pmip3 | FGOALS-s2 | | LASG-IAP, Institute of Atmospheric Physics, Chinese Academy of Sciences
pmip3 | GFDL-CM3 | | NOAA-GFDL, Geophysical Fluid Dynamics Laboratory, USA
pmip3 | GISS-E2-R | | NASA-GISS, NASA Goddard Institute for Space Studies, USA
pmip3 | HadCM3 | | UOED, UBRIS LEEDS EDINBURGH Hadley Centre, UK
pmip3 | HadGEM2-ES | | MOHC, Met Office Hadley Centre, UK
pmip3 | IPSL-CM5A-LR | | IPSL, Institut Pierre-Simon Laplace, France
pmip3 | KCM1-2-2 | | CAU-GEOMAR, Christian-Albrechts University, Germany
pmip3 | MIROC-ESM | | MIROC, Atmosphere and Ocean Research Institute (The University of Tokyo), National Institute for Environmental Studies, and Japan Agency for Marine-Earth Science and Technology, Japan
pmip3 | MPI-ESM-P | | MPI-M, Max Planck Institute for Meteorology, Germany
pmip3 | MRI-CGCM3 | | MRI, Meteorological Research Institute, Japan
tamip | IPSL-CM5A-LR | | IPSL-CM5A-LR, Institut Pierre-Simon Laplace
test | IPSL-CM5A-LR |  | IPSL-CM5A-LR, Institut Pierre-Simon Laplace
test | IPSL-CM5A-LR | | IPSL-CM5A-LR, Institut Pierre-Simon Laplace
test | ncar_ccsm3_0 | http://www.ccsm.ucar.edu| NCAR Community Climate System Model, CCSM 3.0
test | test | http://www-pcmdi.llnl.gov | Test
